"","Origin","Target","Distance"
"514","Havering","Islington",14.4771741659742
"515","Havering","Kensington and Chelsea",16.9247185709367
"516","Havering","Kingston upon Thames",14.9041049354091
"517","Havering","Lambeth",23.6431655413685
"518","Havering","Lewisham",22.2609717715457
"519","Havering","Merton",27.7937504687425
"520","Havering","Newham",23.1565776862249
"521","Havering","Redbridge",27.4213090717896
"522","Havering","Richmond upon Thames",28.9343898011631
"523","Havering","Southwark",17.3548137933363
"524","Havering","Sutton",23.0726470426484
"525","Havering","Tower Hamlets",28.5706400468532
"526","Havering","Waltham Forest",23.1346139157953
"527","Havering","Wandsworth",22.7719729461538
"528","Havering","Westminster",19.458680694269
"529","Hillingdon","Barking and Dagenham",6.4157590281535
"530","Hillingdon","Barne",30.4029982286218
"531","Hillingdon","Bexley",12.5983150026952
"532","Hillingdon","Brent",33.8573565016329
"533","Hillingdon","Bromley",24.2844611529376
"534","Hillingdon","Camden",26.2685790445073
"535","Hillingdon","City of London",22.3700263751623
"536","Hillingdon","Croydon",26.9946788739992
"537","Hillingdon","Ealing",31.4834782107858
"538","Hillingdon","Enfield",38.5171350634753
"539","Hillingdon","Greenwich",23.4493226939786
"540","Hillingdon","Hackney",15.1085610595256
"541","Hillingdon","Hammersmith and Fulham",19.7129165731665
"542","Hillingdon","Haringey",31.5371391982236
"543","Hillingdon","Harrow",22.9300918304184
"544","Hillingdon","Havering",39.1203001577026
"545","Hillingdon","Hillingdon",0
"546","Hillingdon","Hounslow",46.2557448225144
"547","Hillingdon","Islington",42.0508281132937
"548","Hillingdon","Kensington and Chelsea",22.9888454963485
"549","Hillingdon","Kingston upon Thames",29.446184973909
"550","Hillingdon","Lambeth",40.2740565291483
"551","Hillingdon","Lewisham",26.4709224824447
"552","Hillingdon","Merton",21.033957535153
"553","Hillingdon","Newham",33.6411879058071
"554","Hillingdon","Redbridge",13.3100827281895
"555","Hillingdon","Richmond upon Thames",10.330617503966
"556","Hillingdon","Southwark",39.3383695636653
"557","Hillingdon","Sutton",22.7038846020003
"558","Hillingdon","Tower Hamlets",35.5651369905658
"559","Hillingdon","Waltham Forest",18.4636218771109
"560","Hillingdon","Wandsworth",16.5171989364594
"561","Hillingdon","Westminster",30.8156671956597
"562","Hounslow","Barking and Dagenham",40.1505091074027
"563","Hounslow","Barne",18.3163037656987
"564","Hounslow","Bexley",41.7967233191916
"565","Hounslow","Brent",12.4794288410907
"566","Hounslow","Bromley",39.361237384847
"567","Hounslow","Camden",20.0002480970371
"568","Hounslow","City of London",24.6924338908879
"569","Hounslow","Croydon",20.0328513667573
"570","Hounslow","Ealing",32.3984054399076
"571","Hounslow","Enfield",8.22948488930674
"572","Hounslow","Greenwich",27.657745905539
"573","Hounslow","Hackney",35.5819652911758
"574","Hounslow","Hammersmith and Fulham",26.5452058937759
"575","Hounslow","Haringey",16.440306682967
"576","Hounslow","Harrow",24.0683334589554
"577","Hounslow","Havering",9.56590643604202
"578","Hounslow","Hillingdon",46.2557448225144
"579","Hounslow","Hounslow",0
"580","Hounslow","Islington",9.81548125276735
"581","Hounslow","Kensington and Chelsea",23.2770219561718
"582","Hounslow","Kingston upon Thames",18.1493823059589
"583","Hounslow","Lambeth",20.3342958485713
"584","Hounslow","Lewisham",24.7309260555399
"585","Hounslow","Merton",31.3025284964559
"586","Hounslow","Newham",22.6228178330139
"587","Hounslow","Redbridge",33.5620460090866
"588","Hounslow","Richmond upon Thames",36.49065253043
"589","Hounslow","Southwark",14.3617866043664
"590","Hounslow","Sutton",26.8576846443501
"591","Hounslow","Tower Hamlets",27.300307885982
"592","Hounslow","Waltham Forest",28.6604345585588
"593","Hounslow","Wandsworth",30.5825702846554
"594","Hounslow","Westminster",20.5831805834923
"595","Islington","Barking and Dagenham",35.664943741549
"596","Islington","Barne",19.6615963424033
"597","Islington","Bexley",35.3429860968899
"598","Islington","Brent",12.1220719963684
"599","Islington","Bromley",30.9712349551804
"600","Islington","Camden",16.8833161490867
"601","Islington","City of London",19.6818185215041
"602","Islington","Croydon",15.1337700576614
"603","Islington","Ealing",23.1332691913095
"604","Islington","Enfield",6.4810823652176
"605","Islington","Greenwich",28.0366400508497
"606","Islington","Hackney",29.3041134383735
"607","Islington","Hammersmith and Fulham",22.9938188985925
"608","Islington","Haringey",10.5192340625379
"609","Islington","Harrow",22.4932668955334
"610","Islington","Havering",14.4771741659742
"611","Islington","Hillingdon",42.0508281132937
"612","Islington","Hounslow",9.81548125276735
"613","Islington","Islington",0
